Order_ID,Order_Date,Ship_Date,Customer_ID,Region,Category,Sub_Category,Sales,Profit
CA-2016-152156,08-11-16,11-11-16,CG-12520,South,Furniture,Bookcases,261.96,41.9136
CA-2016-152156,08-11-16,11-11-16,CG-12520,South,Furniture,Chairs,731.94,219.582
CA-2016-138688,12-06-16,16-06-16,DV-13045,West,Office Supplies,Labels,14.62,6.8714
US-2015-108966,11-10-15,18-10-15,SO-20335,South,Furniture,Tables,957.5775,-383.031
US-2015-108966,11-10-15,18-10-15,SO-20335,South,Office Supplies,Storage,22.368,2.5164
CA-2014-115812,09-06-14,14-06-14,BH-11710,West,Furniture,Furnishings,48.86,14.1694
CA-2014-115812,09-06-14,14-06-14,BH-11710,West,Office Supplies,Art,7.28,1.9656
CA-2014-115812,09-06-14,14-06-14,BH-11710,West,Technology,Phones,907.152,90.7152
CA-2014-115812,09-06-14,14-06-14,BH-11710,West,Office Supplies,Binders,18.504,5.7825
CA-2014-115812,09-06-14,14-06-14,BH-11710,West,Office Supplies,Appliances,114.9,34.47
CA-2014-115812,09-06-14,14-06-14,BH-11710,West,Furniture,Tables,1706.184,85.3092
CA-2014-115812,09-06-14,14-06-14,BH-11710,West,Technology,Phones,911.424,68.3568
CA-2017-114412,15-04-17,20-04-17,AA-10480,South,Office Supplies,Paper,15.552,5.4432
CA-2016-161389,05-12-16,10-12-16,IM-15070,West,Office Supplies,Binders,407.976,132.5922
US-2015-118983,22-11-15,26-11-15,HP-14815,Central,Office Supplies,Appliances,68.81,-123.858
US-2015-118983,22-11-15,26-11-15,HP-14815,Central,Office Supplies,Binders,2.544,-3.816
CA-2014-105893,11-11-14,18-11-14,PK-19075,Central,Office Supplies,Storage,665.88,13.3176
CA-2014-167164,13-05-14,15-05-14,AG-10270,West,Office Supplies,Storage,55.5,9.99
CA-2014-143336,27-08-14,01-09-14,ZD-21925,West,Office Supplies,Art,8.56,2.4824
CA-2014-143336,27-08-14,01-09-14,ZD-21925,West,Technology,Phones,213.48,16.011
CA-2014-143336,27-08-14,01-09-14,ZD-21925,West,Office Supplies,Binders,22.72,7.384
CA-2016-137330,09-12-16,13-12-16,KB-16585,Central,Office Supplies,Art,19.46,5.0596
CA-2016-137330,09-12-16,13-12-16,KB-16585,Central,Office Supplies,Appliances,60.34,15.6884
US-2017-156909,16-07-17,18-07-17,SF-20065,East,Furniture,Chairs,71.372,-1.0196
CA-2015-106320,25-09-15,30-09-15,EB-13870,West,Furniture,Tables,1044.63,240.2649
CA-2016-121755,16-01-16,20-01-16,EH-13945,West,Office Supplies,Binders,11.648,4.2224
CA-2016-121755,16-01-16,20-01-16,EH-13945,West,Technology,Accessories,90.57,11.7741
US-2015-150630,17-09-15,21-09-15,TB-21520,East,Furniture,Bookcases,3083.43,-1665.0522
US-2015-150630,17-09-15,21-09-15,TB-21520,East,Office Supplies,Binders,9.618,-7.0532
US-2015-150630,17-09-15,21-09-15,TB-21520,East,Furniture,Furnishings,124.2,15.525
US-2015-150630,17-09-15,21-09-15,TB-21520,East,Office Supplies,Envelopes,3.264,1.1016
